delta,delta_log2,frequency,density,cumulative_density
2,1.0,2047829,0.0402739114260255,0.0402739114260255
1/2,-1.0,2046288,0.0402436051370202,0.0805175165630457
3/2,0.5849625007211562,1460663,0.0287263303162875,0.10924384687933321
2/3,-0.5849625007211563,1460572,0.0287245406522385,0.1379683875315717
1/3,-1.5849625007211563,1384018,0.0272189808543706,0.1651873683859423
3,1.5849625007211563,1382907,0.0271971312196627,0.192384499605605
1,0.0,1328401,0.0261251814542345,0.2185096810598395
5,2.321928094887362,1117019,0.02196800820146,0.2404776892612995
1/5,-2.321928094887362,1116795,0.0219636028745701,0.2624412921358696
3/4,-0.4150374992788438,789598,0.0155287379532992,0.27797003008916876
4/3,0.4150374992788437,789077,0.0155184916349529,0.29348852172412165
1/6,-2.584962500721156,739876,0.0145508733835891,0.3080393951077108
6,2.584962500721156,739116,0.0145359267387844,0.3225753218464952
5/3,0.7369655941662062,723200,0.0142229125299532,0.3367982343764484
3/5,-0.7369655941662062,721618,0.014191799908794,0.3509900342852424
7/3,1.222392421336448,620650,0.0122060988132128,0.36319613309845517
3/7,-1.222392421336448,620611,0.0122053318143346,0.37540146491278975
4/5,-0.3219280948873623,604171,0.0118820122872433,0.38728347720003303
5/4,0.3219280948873623,603226,0.0118634273144269,0.39914690451445994
2/7,-1.807354922057604,515006,0.0101284365188068,0.40927534103326674
7/2,1.807354922057604,514580,0.010120058531061,0.41939539956432775
6/5,0.2630344058337938,495374,0.0097423410835357,0.4291377406478635
5/6,-0.2630344058337938,494382,0.009722831778738,0.4388605724266015
1/9,-3.1699250014423126,469924,0.009241825148957,0.4481023975755585
9,3.1699250014423126,469561,0.009234686159399,0.45733708373495746
7/5,0.4854268271702417,451550,0.0088804703441653,0.46621755407912274
5/7,-0.4854268271702417,450095,0.0088518553860195,0.47506940946514226
1/4,-2.0,428330,0.0084238110121057,0.48349322047724796
4,2.0,426877,0.0083952353872357,0.49188845586448365
8,3.0,389150,0.0076532721391472,0.49954172800363084
1/8,-3.0,388675,0.0076439304861443,0.5071856584897751
9/5,0.8479969065549501,342467,0.0067351744820181,0.5139208329717933
5/9,-0.84799690655495,342005,0.0067260884953078,0.520646921467101
9/2,2.1699250014423126,330694,0.0065036391540104,0.5271505606211114
2/9,-2.1699250014423126,330653,0.0065028328218565,0.5336533934429679
10/3,1.7369655941662063,318473,0.0062632931722231,0.539916686615191
3/10,-1.7369655941662063,316969,0.0062337145488201,0.546150401164011
3/8,-1.4150374992788437,311778,0.0061316250314764,0.5522820261954874
8/3,1.4150374992788437,311723,0.0061305433663919,0.5584125695618792
8/7,0.1926450779423958,282881,0.0055633181960532,0.5639758877579324
7/8,-0.1926450779423959,282719,0.0055601322007133,0.5695360199586457
7/6,0.222392421336448,280147,0.0055095496080321,0.5750455695666777
6/7,-0.222392421336448,279701,0.0055007782875282,0.5805463478542059
1/14,-3.8073549220576046,276978,0.005447226032524,0.5859935738867299
14,3.807354922057604,276121,0.0054303717238429,0.5914239456105728
11/3,1.8744691179161408,265180,0.0052151990385688,0.5966391446491416
3/11,-1.8744691179161408,264709,0.0052059360521175,0.6018450807012591
1/11,-3.4594316186372978,261653,0.0051458348066922,0.6069909155079513
11,3.4594316186372978,260999,0.005132972825505,0.6121238883334562
11/4,1.459431618637297,257954,0.0050730879130967,0.6171969762465529
4/11,-1.459431618637297,257502,0.0050641985927655,0.6222611748393184
5/2,1.3219280948873624,244553,0.0048095352985863,0.6270707101379047
2/5,-1.3219280948873622,244042,0.0047994856466189,0.6318701957845236
2/13,-2.700439718141092,243944,0.0047975583161047,0.6366677541006284
13/2,2.700439718141092,243694,0.0047926416566294,0.6414603957572578
4/9,-1.1699250014423124,225679,0.0044383471748441,0.6458987429321019
9/4,1.1699250014423124,224540,0.004415946874275,0.650314689806377
1/12,-3.5849625007211565,218453,0.004296236049372,0.654610925855749
12,3.5849625007211565,217459,0.0042766874112985,0.6588876132670475
5/12,-1.2630344058337937,182954,0.0035980900705269,0.6624857033375744
15/2,2.9068905956085187,182451,0.0035881977516627,0.6660739010892371
2/15,-2.9068905956085187,182400,0.0035871947531298,0.669661095842367
12/5,1.2630344058337937,181761,0.0035746277715111,0.6732357236138781
15,3.906890595608519,179596,0.0035320495004555,0.6767677731143336
1/15,-3.906890595608519,178636,0.0035131695280707,0.6802809426424042
5/13,-1.3785116232537298,165250,0.0032499119131288,0.6835308545555331
13/5,1.3785116232537298,165134,0.0032476305831323,0.6867784851386654
9/7,0.3625700793847084,158495,0.003117063774108,0.6898955489127734
7/9,-0.3625700793847082,158258,0.0031124027809255,0.6930079516936989
14/3,2.222392421336448,154871,0.003045791878355,0.6960537435720539
3/14,-2.222392421336448,154433,0.0030371778909544,0.6990909214630082
6/11,-0.8744691179161412,146302,0.002877268458182,0.7019681899211903
11/7,0.6520766965796931,145963,0.0028706014679335,0.7048387913891238
11/6,0.874469117916141,145827,0.002867926805179,0.7077067181943028
7/11,-0.6520766965796932,145218,0.0028559498226973,0.7105626680170001
9/10,-0.1520030934450499,142014,0.0027929379148628,0.7133556059318629
10/9,0.15200309344505,141681,0.0027863889244418,0.7161419948563047
11/10,0.137503523749935,141570,0.0027842059276347,0.7189262007839394
10/11,-0.1375035237499349,141003,0.0027730549439449,0.7216992557278843
9/11,-0.2895066171949848,140743,0.0027679416180907,0.724467197345975
11/9,0.289506617194985,140038,0.0027540766383705,0.7272212739843454
4/15,-1.9068905956085187,137691,0.002707919039217,0.7299291930235624
15/4,1.9068905956085187,137688,0.0027078600393033,0.7326370530628658
13/3,2.115477217419936,135527,0.0026653604347994,0.7353024134976651
3/13,-2.115477217419936,135256,0.0026600307759283,0.7379624442735934
3/17,-2.5025003405291835,126817,0.0024940640186823,0.7404565082922757
17/3,2.5025003405291835,125982,0.002477642376035,0.7429341506683107
5/16,-1.6780719051126378,124508,0.0024486537517691,0.7453828044200798
16/5,1.6780719051126378,124032,0.0024392924321282,0.7478220968522079
9/8,0.1699250014423123,122610,0.0024113264730331,0.750233423325241
8/9,-0.1699250014423124,122318,0.002405583814766,0.752639007140007
7/15,-1.0995356735509143,122259,0.0024044234831299,0.7550434306231368
15/7,1.0995356735509143,121367,0.0023868808421222,0.7574303114652591
12/7,0.7776075786635519,121177,0.0023831441809211,0.7598134556461802
7/12,-0.7776075786635519,120624,0.0023722685301618,0.762185724176342
1/20,-4.321928094887363,119719,0.0023544702228615,0.7645401943992035
20,4.321928094887363,119422,0.0023486292314049,0.7668888236306084
1/7,-2.8073549220576046,113858,0.0022392040581241,0.7691280276887325
7,2.807354922057604,113578,0.0022336973995119,0.7713617250882443
6/13,-1.115477217419936,102742,0.0020205897112174,0.7733823147994617
13/6,1.115477217419936,102694,0.0020196457125982,0.7754019605120599
17,4.08746284125034,100956,0.0019854650959263,0.7773874256079862
1/17,-4.08746284125034,100939,0.001985130763082,0.7793725563710683
16/3,2.415037499278844,90789,0.0017855143883876,0.7811580707594559
3/16,-2.415037499278844,90773,0.0017851997221812,0.782943270481637
8/13,-0.7004397181410922,88986,0.0017500554402522,0.7846933259218892
18,4.169925001442312,88925,0.0017488557753402,0.7864421816972295
13/8,0.7004397181410922,88918,0.0017487181088749,0.7881908998061044
1/18,-4.169925001442313,88065,0.0017319424667454,0.7899228422728497
17/4,2.0874628412503395,86550,0.0017021475103255,0.7916249897831752
4/17,-2.0874628412503395,86107,0.0016934351897354,0.7933184249729106
2/19,-3.2479275134435857,84921,0.0016701105571849,0.7949885355300955
19/2,3.2479275134435857,84672,0.0016652135643476,0.7966537490944431
5/18,-1.84799690655495,81841,0.00160953731245,0.798263286406893
18/5,1.84799690655495,81534,0.0016034996546145,0.7998667860615075
15/8,0.9068905956085184,81295,0.0015987993281561,0.8014655853896636
8/15,-0.9068905956085188,81253,0.0015979733293643,0.8030635587190279
20/3,2.736965594166206,80947,0.0015919553381666,0.8046555140571945
3/20,-2.736965594166206,80772,0.0015885136765339,0.8062440277337284
13/9,0.5305147166987798,76600,0.0015064644632113,0.8077504921969397
9/13,-0.5305147166987799,76592,0.0015063071301081,0.8092567993270479
19/5,1.925999418556223,76054,0.0014957264789174,0.8107525258059652
7/18,-1.3625700793847084,75961,0.0014938974815926,0.8122464232875578
18/7,1.3625700793847084,75932,0.0014933271490934,0.8137397504366513
